1,"会員登録に必要な情報は何ですか？","氏名、メールアドレス、郵便番号、住所、電話番号、パスワードの入力が必要です。","2024-01-01 00:00:00","2024-01-01 00:00:00"
2,"会員登録は無料ですか？","はい、当サイトの会員登録は無料です。","2024-01-01 00:00:00","2024-01-01 00:00:00"
3,"メールアドレスを間違えて登録した場合、どうすればいいですか？","正しいメールアドレスで再登録いただくか、サポートまでご連絡ください。","2024-01-01 00:00:00","2024-01-01 00:00:00"
4,"ログインできない場合はどうすればいいですか？","登録時のメールアドレスとパスワードが正しいかご確認ください。パスワードを忘れた場合は再設定が可能です。","2024-01-01 00:00:00","2024-01-01 00:00:00"
5,"パスワードを忘れてしまいました。どうすればよいですか？","ログイン画面の「パスワードを忘れた方はこちら」から再設定手続きができます。","2024-01-01 00:00:00","2024-01-01 00:00:00"
6,"登録した情報を変更したい場合はどうすればいいですか？","マイページの「会員情報編集」から氏名や住所などを変更できます。","2024-01-01 00:00:00","2024-01-01 00:00:00"
7,"クレジットカードの登録・変更はどこからできますか？","マイページの「クレジットカード情報」から登録・編集が可能です。","2024-01-01 00:00:00","2024-01-01 00:00:00"
8,"注文履歴を確認するにはどうすればいいですか？","マイページ内の「注文履歴」から過去の購入内容をご確認いただけます。","2024-01-01 00:00:00","2024-01-01 00:00:00"
9,"パスワードを変更したい場合は？","マイページの「パスワード変更」からいつでも変更できます。","2024-01-01 00:00:00","2024-01-01 00:00:00"
10,"退会したい場合の手続きは？","マイページ下部の「退会手続き」から退会処理が可能です。","2024-01-01 00:00:00","2024-01-01 00:00:00"
11,"商品を検索するにはどうすればいいですか？","サイト上部の検索バーに商品名やキーワードを入力してください。","2024-01-01 00:00:00","2024-01-01 00:00:00"
12,"商品をカテゴリ別に絞り込むことはできますか？","はい、商品一覧ページでカテゴリを選択して絞り込めます。","2024-01-01 00:00:00","2024-01-01 00:00:00"
13,"商品を価格順に並び替えることはできますか？","商品一覧ページで「価格順」または「商品ID順」に並び替えが可能です。","2024-01-01 00:00:00","2024-01-01 00:00:00"
14,"商品の画像を確認できますか？","商品一覧ページではサムネイル画像が表示され、詳細ページでは拡大画像も確認できます。","2024-01-01 00:00:00","2024-01-01 00:00:00"
15,"商品をカートに追加するには？","商品詳細ページの「カートに入れる」ボタンをクリックしてください。","2024-01-01 00:00:00","2024-01-01 00:00:00"
16,"商品レビューはどこから投稿できますか？","商品詳細ページ下部の「レビュー投稿」セクションから可能です。","2024-01-01 00:00:00","2024-01-01 00:00:00"
17,"気に入った商品を保存しておくことはできますか？","はい、「お気に入りに追加」ボタンで保存でき、マイページから確認可能です。","2024-01-01 00:00:00","2024-01-01 00:00:00"
18,"お気に入り商品はどこで確認できますか？","「お気に入り一覧」ページで確認、解除やカート追加も可能です。","2024-01-01 00:00:00","2024-01-01 00:00:00"
19,"カートの中身を確認するには？","ページ右上の「カート」アイコンをクリックすると中身を確認できます。","2024-01-01 00:00:00","2024-01-01 00:00:00"
20,"購入手続きにはどのような支払い方法が利用できますか？","マイページで登録したクレジットカードを使って、オンライン決済が可能です。","2024-01-01 00:00:00","2024-01-01 00:00:00"
